,Open,Close,Volume,Dividends,Stock Splits,High,Low
2026-01-15 09:30:00-05:00,49500.0,49490.94148719539,470,0.0,0.0,49508.3287451686,49462.26470557314
2026-01-15 09:31:00-05:00,49536.49270197418,49539.124931551865,1079,0.0,0.0,49564.66928353465,49531.334270641775
2026-01-15 09:32:00-05:00,49528.07741132245,49525.490370456624,403,0.0,0.0,49551.33819539183,49499.37364271736
2026-01-15 09:33:00-05:00,49507.20762763641,49515.650419004305,1765,0.0,0.0,49543.747132312456,49489.66910870403
2026-01-15 09:34:00-05:00,49460.263771262384,49461.650400105624,1310,0.0,0.0,49472.697488401165,49431.02933341472
2026-01-15 09:35:00-05:00,49426.47050182875,49416.50390086785,1101,0.0,0.0,49431.532853750745,49386.6832514482
2026-01-15 09:36:00-05:00,49430.50523901316,49431.1870057856,1220,0.0,0.0,49460.87558725215,49411.11781464934
2026-01-15 09:37:00-05:00,49387.676716274545,49382.64134259581,368,0.0,0.0,49410.73049181377,49359.746322749415
2026-01-15 09:38:00-05:00,49383.113729330464,49377.53393669329,1512,0.0,0.0,49405.71377468326,49347.829781440254
2026-01-15 09:39:00-05:00,49405.0996435201,49414.772791183066,724,0.0,0.0,49438.28620715518,49379.026000928454
2026-01-15 09:40:00-05:00,49372.85796489627,49378.291042371355,487,0.0,0.0,49398.83275427795,49357.76809140172
2026-01-15 09:41:00-05:00,49419.86738907897,49425.4183473876,1280,0.0,0.0,49441.068342671184,49401.25128380578
2026-01-15 09:42:00-05:00,49420.04276925234,49417.420200070235,734,0.0,0.0,49442.610198410046,49399.02957375927
2026-01-15 09:43:00-05:00,49374.7344849382,49365.380807669244,426,0.0,0.0,49403.99325678506,49353.48662770396
2026-01-15 09:44:00-05:00,49388.35112189154,49383.47995312893,1113,0.0,0.0,49407.11939739308,49364.34597963951
2026-01-15 09:45:00-05:00,49374.35021319691,49364.83749903425,1071,0.0,0.0,49379.45519157878,49346.195208437384
2026-01-15 09:46:00-05:00,49381.51024672215,49389.01628773329,1311,0.0,0.0,49403.71958079376,49360.654670663884
2026-01-15 09:47:00-05:00,49333.37200860862,49327.63187683009,1038,0.0,0.0,49341.89241860415,49304.12540019097
2026-01-15 09:48:00-05:00,49300.88863236739,49308.79403929714,1359,0.0,0.0,49325.56165744791,49286.279724354696
2026-01-15 09:49:00-05:00,49339.7405807949,49336.94906240969,459,0.0,0.0,49353.36227305229,49308.18912928159
2026-01-15 09:50:00-05:00,49319.778692802385,49311.371405615886,1532,0.0,0.0,49337.80938193826,49286.66573215737
2026-01-15 09:51:00-05:00,49278.1969656514,49269.66161850043,1515,0.0,0.0,49288.93296451688,49249.188672306234
2026-01-15 09:52:00-05:00,49229.20048897104,49238.00723766319,1051,0.0,0.0,49257.39597543767,49215.49260229943
2026-01-15 09:53:00-05:00,49227.08039181128,49227.10688369309,1400,0.0,0.0,49252.00612235717,49217.77097561416
2026-01-15 09:54:00-05:00,49224.353530767636,49224.12019764835,1441,0.0,0.0,49245.885042611684,49211.057022340436
2026-01-15 09:55:00-05:00,49251.38441543405,49244.43556578949,926,0.0,0.0,49267.30311596443,49221.17385186717
2026-01-15 09:56:00-05:00,49276.06369296402,49271.79743267212,324,0.0,0.0,49291.7967171094,49258.87503992727
2026-01-15 09:57:00-05:00,49298.323787454836,49292.07005998467,296,0.0,0.0,49317.782324484164,49263.11668898497
2026-01-15 09:58:00-05:00,49284.92541061175,49284.39014335536,1192,0.0,0.0,49290.23197776431,49278.9566945832
2026-01-15 09:59:00-05:00,49328.58438318728,49328.144786288176,1122,0.0,0.0,49355.415126778724,49313.78976641554
2026-01-15 10:00:00-05:00,49290.289228127935,49286.772391818246,1727,0.0,0.0,49317.55829254253,49280.43900949053
