trial,value,best,win_pct,win_days,lose_days,total_pts,warmup_minutes,steep_angle_threshold,proximity_points,min_entry_angle,partial_tp_pts,wm_shield_distance,swing_anchor_threshold,spike_profit_pts,spike_profit_bars,avg_1000,avg_1100,avg_1200,avg_1300,avg_1400,avg_1500,avg_1600,avg_1700
1,326.3,326.3,77.1,508,151,215013.0,7,90.0,4.0,0.0,50.0,0.0,10.0,100.0,5,54.9,126.2,183.3,222.5,255.4,286.7,315.7,326.3
2,262.0,326.3,73.7,486,173,172667.0,7,90.0,12.0,25.0,25.0,2.0,5.0,200.0,7,48.6,107.8,154.6,183.3,208.2,229.5,249.8,262.0
3,237.4,326.3,66.9,441,218,156440.0,10,60.0,15.0,35.0,50.0,4.0,10.0,100.0,6,32.6,84.9,125.3,156.1,185.7,207.4,231.4,237.4
4,179.7,326.3,66.5,438,221,118422.0,8,67.5,10.0,5.0,50.0,8.0,25.0,175.0,3,49.6,78.6,106.2,120.1,143.7,159.8,173.8,179.7
5,257.6,326.3,72.8,480,179,169740.0,9,77.5,2.0,25.0,50.0,0.0,50.0,200.0,9,48.2,105.3,149.8,182.6,213.9,238.1,254.4,257.6
6,129.3,326.3,59.3,391,268,85226.0,7,62.5,11.0,15.0,25.0,10.0,5.0,200.0,4,44.0,69.5,87.6,94.8,101.3,111.0,124.9,129.3
7,119.7,326.3,61.5,405,254,78902.0,10,70.0,9.0,20.0,50.0,20.0,40.0,200.0,10,42.7,75.9,82.7,91.1,102.1,109.4,116.5,119.7
8,193.5,326.3,66.5,438,221,127519.0,9,87.5,3.0,5.0,25.0,6.0,20.0,75.0,9,57.0,96.2,125.8,138.2,158.6,177.5,190.5,193.5
9,212.1,326.3,61.2,403,256,139804.0,7,67.5,9.0,5.0,125.0,0.0,50.0,175.0,3,35.8,78.5,115.3,139.2,170.2,193.8,207.8,212.1
10,101.3,326.3,54.5,359,300,66730.0,5,85.0,11.0,30.0,125.0,0.0,20.0,50.0,9,1.5,9.9,37.0,55.0,73.3,93.6,102.9,101.3
11,166.2,326.3,64.3,424,235,109537.0,12,80.0,5.0,0.0,100.0,16.0,35.0,125.0,5,30.1,81.8,100.6,113.7,126.5,144.6,156.6,166.2
12,263.9,326.3,67.7,446,213,173942.0,5,90.0,14.0,15.0,75.0,4.0,10.0,125.0,7,43.3,108.9,156.4,182.5,209.3,231.9,258.2,263.9
13,251.8,326.3,68.0,448,211,165939.0,5,82.5,6.0,15.0,75.0,4.0,15.0,125.0,7,46.3,103.8,147.2,169.6,196.8,222.2,247.7,251.8
14,182.1,326.3,62.8,414,245,120005.0,6,90.0,15.0,40.0,75.0,12.0,15.0,125.0,6,40.5,90.2,115.2,129.6,142.3,160.0,175.9,182.1
15,245.8,326.3,66.2,436,223,161975.0,6,75.0,6.0,10.0,100.0,4.0,30.0,100.0,7,43.3,94.4,143.1,163.4,193.2,218.6,242.2,245.8
16,215.6,326.3,69.2,456,203,142066.0,5,85.0,13.0,0.0,75.0,8.0,10.0,150.0,2,42.7,93.6,127.6,140.5,165.4,184.6,207.0,215.6
17,146.9,326.3,59.2,390,269,96831.0,6,90.0,7.0,15.0,150.0,12.0,15.0,75.0,5,10.1,42.9,77.5,92.8,110.1,125.9,140.4,146.9
18,260.1,326.3,64.3,424,235,171427.0,8,80.0,4.0,10.0,100.0,2.0,5.0,100.0,8,37.8,98.9,148.1,176.6,202.9,223.4,248.3,260.1
19,210.7,326.3,64.9,428,231,138819.0,6,75.0,7.0,20.0,75.0,6.0,25.0,150.0,5,46.6,93.1,127.8,146.4,169.0,190.5,208.2,210.7
20,302.4,326.3,70.7,466,193,199256.0,12,85.0,13.0,10.0,50.0,2.0,10.0,75.0,6,44.3,115.1,166.6,203.7,240.5,264.8,292.0,302.4
21,159.6,326.3,65.7,433,226,105151.0,12,85.0,8.0,0.0,50.0,16.0,20.0,50.0,4,47.7,86.1,103.7,113.2,126.3,139.1,149.1,159.6
22,304.7,326.3,70.7,466,193,200767.0,11,87.5,13.0,10.0,50.0,2.0,10.0,75.0,6,46.8,117.4,168.9,206.0,242.8,267.0,294.3,304.7
23,258.8,326.3,71.0,468,191,170551.0,11,87.5,12.0,10.0,25.0,2.0,10.0,75.0,6,47.0,106.5,148.8,177.9,209.9,228.3,249.2,258.8
24,289.8,326.3,74.4,490,169,190963.0,12,82.5,13.0,5.0,50.0,0.0,15.0,75.0,4,42.0,105.4,157.7,194.7,228.1,256.6,287.0,289.8
25,329.0,329.0,75.3,496,163,216828.0,11,87.5,14.0,10.0,25.0,2.0,5.0,50.0,6,50.3,133.9,194.1,229.1,263.1,288.4,315.2,329.0
26,234.9,329.0,70.9,467,192,154768.0,11,87.5,14.0,0.0,25.0,6.0,5.0,50.0,5,48.3,108.2,149.2,168.6,183.7,204.6,227.0,234.9
27,283.7,329.0,74.1,488,171,186958.0,11,82.5,2.0,5.0,25.0,2.0,5.0,100.0,8,45.3,116.9,169.8,200.2,226.1,248.4,270.8,283.7
28,294.7,329.0,76.2,502,157,194210.0,10,87.5,11.0,20.0,25.0,0.0,20.0,50.0,6,51.9,124.8,176.7,208.8,238.0,271.2,292.0,294.7
29,268.6,329.0,68.9,454,205,176988.0,9,80.0,15.0,10.0,50.0,6.0,30.0,50.0,8,59.4,126.7,173.5,195.3,222.2,243.9,263.7,268.6
30,283.3,329.0,75.3,496,163,186700.0,8,90.0,12.0,0.0,25.0,2.0,5.0,75.0,5,52.6,118.7,168.2,196.2,225.2,246.6,269.8,283.3
31,141.3,329.0,62.7,413,246,93108.0,11,72.5,4.0,25.0,25.0,8.0,40.0,100.0,3,38.8,61.5,85.3,98.5,120.1,131.3,136.9,141.3
32,302.4,329.0,70.7,466,193,199256.0,12,85.0,13.0,10.0,50.0,2.0,10.0,75.0,6,44.3,115.1,166.6,203.7,240.5,264.8,292.0,302.4
33,278.1,329.0,70.4,464,195,183275.0,10,87.5,14.0,15.0,50.0,4.0,10.0,75.0,7,49.5,117.4,161.0,192.4,221.6,242.7,270.1,278.1
34,273.4,329.0,71.5,471,188,180196.0,11,90.0,13.0,5.0,50.0,2.0,15.0,100.0,6,44.0,108.6,158.7,186.6,216.5,246.9,269.5,273.4
35,366.4,366.4,76.3,503,156,241476.0,12,85.0,14.0,10.0,50.0,0.0,5.0,50.0,4,43.8,137.8,206.1,252.0,286.9,319.3,353.8,366.4
36,256.9,366.4,66.9,441,218,169301.0,11,82.5,10.0,20.0,75.0,0.0,5.0,50.0,4,22.9,82.0,132.9,167.5,196.3,223.2,246.7,256.9
37,335.4,366.4,75.6,498,161,221030.0,9,77.5,15.0,5.0,50.0,0.0,5.0,50.0,2,45.4,130.9,192.5,234.7,265.4,294.4,324.5,335.4
38,312.6,366.4,78.0,514,145,205987.0,9,77.5,15.0,5.0,25.0,0.0,5.0,50.0,2,45.3,125.8,181.2,217.8,248.1,275.2,301.3,312.6
39,356.1,366.4,75.4,497,162,234658.0,7,77.5,14.0,5.0,50.0,0.0,5.0,50.0,3,52.5,139.3,204.4,249.1,281.2,312.4,344.8,356.1
40,356.1,366.4,75.4,497,162,234658.0,7,77.5,14.0,5.0,50.0,0.0,5.0,50.0,3,52.5,139.3,204.4,249.1,281.2,312.4,344.8,356.1
41,267.9,366.4,68.7,453,206,176558.0,7,72.5,15.0,5.0,75.0,0.0,5.0,50.0,3,33.7,93.1,147.0,182.2,210.2,235.8,259.0,267.9
42,340.1,366.4,75.4,497,162,224118.0,7,77.5,14.0,5.0,50.0,0.0,5.0,50.0,2,50.5,136.1,197.1,239.6,270.1,299.0,329.1,340.1
43,324.5,366.4,75.7,499,160,213815.0,7,77.5,14.0,5.0,50.0,0.0,10.0,50.0,2,52.0,129.1,185.3,225.0,257.2,288.1,315.4,324.5
44,340.8,366.4,76.5,504,155,224592.0,8,75.0,12.0,0.0,50.0,0.0,5.0,50.0,2,49.9,135.6,197.2,239.8,269.8,298.9,329.1,340.8
