date,outcome,entry_time,exit_time,entry_type,exit_type,direction,entry_price,exit_price,realized_pl,bars_held,bars_since_open,slope_purple,slope_blue,line_spacing,support_resistance_dist,new_highs_10bar,new_lows_10bar,atr_14,avg_bar_size,velocity_5bar,mfe,mae,confidence_at_entry,entry_hour
2023-12-19,TRUE_TREND,09:51:00,10:47:00,TREND_LONG,PARTIAL_TP,long,38172.0,38222.0,50.0,56,21,0.0,6.239499890165173,23.56300065900723,72.99750935019256,2,0,5.928571428571429,0.2,12.0,50.0,-17.0,0.0,9
2023-12-19,TRUE_TREND,11:08:00,11:41:00,TREND_LONG,CHOP_TP,long,38240.0,38262.0,44.0,33,98,0.0,0.9181201637379767,46.80135639776563,140.98152750082227,1,0,1.2857142857142858,0.0,18.0,32.0,0.0,0.0,11
2024-01-10,FALSE_TREND,10:03:00,14:31:00,TREND_SHORT,EXIT_FLAT,short,38150.0,38313.0,-326.0,268,29,-0.23483409451362777,0.0,89.53033181097271,91.99516678713553,0,1,6.428571428571429,0.0,-90.0,0.0,-163.0,0.0,10
2024-01-10,FALSE_TREND,14:32:00,15:25:00,TREND_LONG,EXIT_FLAT,long,38313.0,38236.0,-154.0,53,298,0.0,0.2278613436697321,113.55408842366887,162.93450956868764,1,0,8.142857142857142,0.3333333333333333,114.0,45.0,-77.0,0.0,14
2024-02-13,TRUE_TREND,13:27:00,13:50:00,TREND_SHORT,CHOP_TP,short,38707.0,38684.0,46.0,23,237,-0.6098657023216926,0.0,92.73088846600876,232.89123062939325,0,1,3.0714285714285716,0.0,-43.0,23.0,0.0,0.0,13
2024-02-13,TRUE_TREND,14:00:00,14:14:00,TREND_SHORT,PARTIAL_TP,short,38648.0,38572.0,76.0,14,270,-0.609925876326607,0.0,95.5894945261025,291.8766062933719,0,1,2.5714285714285716,0.4,-36.0,76.0,0.0,0.0,14
2024-02-13,TRUE_TREND,14:47:00,14:59:00,TREND_SHORT,CHOP_TP,short,38547.0,38528.0,38.0,12,317,-8.08883499312682e-05,0.07145313936121322,60.07139264866419,392.8551266322538,0,4,7.714285714285714,3.2666666666666666,-62.0,19.0,0.0,0.0,14
2024-02-22,FALSE_TREND,09:50:00,10:25:00,TREND_LONG,EXIT_FLAT,long,39403.0,39343.0,-120.0,35,20,0.0,1.3850140487938594,81.68991570723301,123.9928904245171,3,1,10.285714285714286,2.0,70.0,42.0,-60.0,0.0,9
2024-02-22,TRUE_TREND,13:28:00,13:54:00,TREND_LONG,CHOP_TP,long,39473.0,39487.0,28.0,26,238,0.0,0.5155985347765579,107.26940952694713,192.91094369105122,3,1,5.857142857142857,0.5333333333333333,35.0,27.0,0.0,0.0,13
2024-02-22,TRUE_TREND,14:15:00,14:26:00,TREND_LONG,PARTIAL_TP,long,39565.0,39624.0,59.0,11,285,0.0,0.5428707335881058,171.59828756789648,284.89335693226894,1,0,5.571428571428571,0.6666666666666666,25.0,59.0,0.0,0.0,14
2024-02-26,TRUE_TREND,11:05:00,13:28:00,TREND_SHORT,PARTIAL_TP,short,39602.0,39544.0,58.0,143,95,-0.7111958821614585,0.09773738007669117,44.797711181643535,106.98066706752434,0,2,1.5,0.06666666666666667,-18.0,58.0,-17.0,0.0,11
2024-02-27,TRUE_TREND,09:51:00,11:24:00,TREND_SHORT,CHOP_TP,short,39400.0,39380.0,40.0,93,21,-4.44944407805736,0.8460765796703297,6.561674360797042,108.99580501728633,1,1,3.7857142857142856,0.0,-31.0,32.0,-25.0,0.0,9
2024-02-27,FALSE_TREND,11:48:00,14:19:00,TREND_SHORT,EXIT_FLAT,short,39344.0,39405.0,-122.0,151,138,-0.9696327897999257,0.0,25.19067500760866,164.97243299944967,1,2,4.285714285714286,0.0,-23.0,0.0,-61.0,0.0,11
2024-02-28,TRUE_TREND,10:32:00,10:47:00,TREND_LONG,PARTIAL_TP,long,39325.0,39375.0,50.0,15,62,0.0,1.4693682270665323,18.062220419604273,104.98568154495297,1,1,2.2857142857142856,0.6,21.0,50.0,0.0,0.0,10
2024-02-29,TRUE_TREND,09:54:00,10:06:00,TREND_SHORT,CHOP_TP,short,39463.0,39450.0,26.0,12,24,-1.4923256674965661,-0.00021059782608704586,13.543215412515565,86.98709443393454,0,2,4.285714285714286,2.066666666666667,-21.0,13.0,-9.0,0.0,9
2024-02-29,TRUE_TREND,10:07:00,10:11:00,TREND_SHORT,PARTIAL_TP,short,39440.0,39385.0,55.0,4,37,-1.6248737980769234,-1.701586174242576e-05,4.752271634613862,109.9900275417167,1,1,5.214285714285714,0.8,-19.0,55.0,0.0,0.0,10
2024-03-01,TRUE_TREND,09:51:00,10:14:00,TREND_SHORT,CHOP_TP,short,39382.0,39359.0,46.0,23,21,-5.09058885450487,0.0,10.641167182424397,97.99377909793111,1,3,6.571428571428571,0.3333333333333333,-31.0,42.0,0.0,0.0,9
2024-03-01,TRUE_TREND,10:28:00,10:56:00,TREND_LONG,PARTIAL_TP,long,39491.0,39545.0,54.0,28,58,5.38485576923077,7.694185428342957,90.71859599679738,153.991113075077,4,1,11.071428571428571,1.6666666666666667,36.0,54.0,-37.0,0.0,10
2024-03-01,TRUE_TREND,12:27:00,14:10:00,TREND_LONG,CHOP_TP,long,39556.0,39575.0,38.0,103,177,0.20340037827484642,9.987201826469768e-05,106.99500639908365,225.95586159462255,3,0,2.357142857142857,0.5333333333333333,6.0,32.0,-38.0,0.0,12
2024-03-01,FALSE_TREND,14:15:00,15:07:00,TREND_LONG,EXIT_FLAT,long,39600.0,39525.0,-150.0,52,285,-6.5,0.649553713152346,64.37051332192641,262.92386867482855,3,1,5.714285714285714,1.2666666666666666,25.0,1.0,-75.0,0.0,14
2024-03-04,TRUE_TREND,09:50:00,12:37:00,TREND_LONG,PARTIAL_TP,long,39486.0,39540.0,54.0,167,20,-6.5,3.7236163834880167,42.040219781629276,103.99588783684885,6,0,11.928571428571429,2.1333333333333333,18.0,54.0,-57.0,0.0,9
2024-03-05,FALSE_TREND,09:52:00,10:00:00,TREND_SHORT,EXIT_FLAT,short,39226.0,39300.0,-148.0,8,22,-3.2103007492677165,0.0716238839285714,20.37611789110815,117.98990282647719,3,3,14.357142857142858,10.6,-54.0,7.0,-74.0,0.0,9
2024-03-05,FALSE_TREND,10:04:00,10:08:00,TREND_LONG,EARLY_HARD_STOP,long,39336.0,39271.0,-130.0,4,34,8.00069580078125,7.5324041193181825,30.870383522727934,131.9949513747706,7,0,15.142857142857142,11.533333333333333,86.0,0.0,-65.0,0.0,10
2024-03-05,TRUE_TREND,10:50:00,11:23:00,TREND_SHORT,CHOP_TP,short,39200.0,39182.0,36.0,33,80,-2.0748840953110546,0.0,44.55533161569474,139.9784286642389,1,1,9.0,3.6666666666666665,-42.0,25.0,-14.0,0.0,10
2024-03-05,FALSE_TREND,11:56:00,11:59:00,TREND_SHORT,EARLY_HARD_STOP,short,39118.0,39158.0,-80.0,3,146,-1.4194447863037738,-0.0001946417839972067,63.03307940342347,221.94262965044618,2,4,7.857142857142857,4.0,-13.0,0.0,-40.0,0.0,11
2024-03-05,TRUE_TREND,14:02:00,14:46:00,TREND_SHORT,PARTIAL_TP,short,39059.0,39000.0,59.0,44,272,-0.7999931556635936,2.166592684659091,81.26799969070271,280.8907668710599,1,2,5.142857142857143,0.8,-31.0,59.0,-34.0,0.0,14
2024-03-05,FALSE_TREND,15:13:00,15:53:00,TREND_SHORT,EXIT_FLAT,short,38950.0,39021.0,-142.0,40,343,-2.7856645834284794,0.9998942057291667,9.430758329152013,389.8581804718924,2,2,4.642857142857143,2.2666666666666666,-18.0,34.0,-71.0,0.0,15
2024-03-06,FALSE_TREND,11:30:00,11:34:00,TREND_LONG,EARLY_HARD_STOP,long,39306.0,39257.0,-98.0,4,120,0.9723347283386028,0.7841870715724079,26.85383931038814,166.96759779334388,7,2,6.285714285714286,3.933333333333333,27.0,0.0,-49.0,0.0,11
2024-03-06,FALSE_TREND,11:50:00,12:03:00,TREND_LONG,EXIT_FLAT,long,39325.0,39260.0,-130.0,13,140,1.775568181816567e-05,2.40032662784352,6.599637860788789,176.9612444570812,2,1,6.357142857142857,3.3333333333333335,32.0,0.0,-65.0,0.0,11
