date,baseline_pl,experiment_pl,baseline_trades,experiment_trades,blocked,day_type,first_trade_holds
2023-12-19,-78.0,-10.0,3,1,0,CHOP,0
2024-01-10,-510.0,0.0,3,1,0,CHOP,0
2024-02-13,117.0,76.0,1,1,0,CHOP,0
2024-02-22,50.0,30.0,1,1,0,CHOP,0
2024-02-26,-108.0,-108.0,2,1,0,CHOP,0
2024-02-27,54.0,-40.0,1,1,0,CHOP,0
2024-02-28,50.0,48.0,1,1,0,CHOP,0
2024-02-29,64.0,109.0,1,1,0,CHOP,0
2024-03-01,17.0,-33.0,2,2,0,CHOP,0
2024-03-04,54.0,28.0,1,1,0,CHOP,0
2024-03-05,-410.0,-342.0,3,2,0,CHOP,0
2024-03-06,-276.0,-34.0,3,1,0,CHOP,0
2024-03-07,-283.0,-16.0,3,1,0,CHOP,0
2024-03-08,-66.0,24.0,2,1,0,CHOP,0
2024-03-11,-42.0,104.0,4,1,0,CHOP,0
2024-03-12,-320.0,106.0,2,1,0,CHOP,0
2024-03-13,26.0,98.0,2,1,0,CHOP,0
2024-03-14,227.0,62.0,2,1,0,CHOP,0
2024-03-15,11.0,-136.0,3,1,2,CHOP,2
2024-03-18,-418.0,-232.0,3,2,0,CHOP,0
2024-03-19,64.0,4.0,1,1,0,CHOP,0
2024-03-20,257.0,90.0,7,1,4,CHOP,2
2024-03-21,-61.0,91.0,2,1,0,CHOP,0
2024-03-22,55.0,55.0,1,1,0,CHOP,0
2024-03-25,50.0,-24.0,1,1,0,CHOP,0
2024-03-26,-218.0,0.0,2,0,0,CHOP,0
2024-03-27,-548.0,-182.0,5,1,1,CHOP,0
2024-03-28,-184.0,54.0,2,1,0,CHOP,0
2024-04-01,55.0,55.0,1,1,0,TREND,0
2024-04-02,50.0,-70.0,1,1,0,CHOP,0
2024-04-03,34.0,102.0,2,1,0,CHOP,0
2024-04-04,61.0,108.0,1,1,0,CHOP,0
2024-04-05,66.0,-62.0,1,1,0,CHOP,0
2024-04-08,-186.0,-306.0,2,2,0,CHOP,0
2024-04-09,394.0,221.0,2,2,0,CHOP,0
2024-04-10,-508.0,0.0,3,0,0,CHOP,0
2024-04-11,-139.0,93.0,2,1,0,CHOP,0
2024-04-12,-164.0,-152.0,2,2,0,CHOP,0
2024-04-15,51.0,51.0,1,1,0,CHOP,0
2024-04-16,177.0,70.0,4,1,2,CHOP,2
2024-04-17,-308.0,-246.0,4,2,0,CHOP,0
2024-04-18,-6.0,111.0,2,1,0,CHOP,0
2024-04-19,101.0,-40.0,3,2,2,CHOP,2
2024-04-22,-259.0,0.0,4,0,1,CHOP,0
2024-04-23,-57.0,-14.0,3,2,0,CHOP,0
2024-04-24,-278.0,-88.0,3,1,0,CHOP,0
2024-04-25,4.0,90.0,2,1,0,CHOP,0
2024-04-26,223.0,237.0,3,2,0,CHOP,0
2024-04-29,77.0,0.0,1,0,0,CHOP,0
2024-04-30,-370.0,-288.0,3,2,0,CHOP,0
2024-05-01,196.0,0.0,3,0,0,CHOP,0
2024-05-02,-64.0,1.0,2,1,0,CHOP,0
2024-05-03,53.0,102.0,1,1,0,CHOP,0
2024-05-06,51.0,26.0,1,1,0,CHOP,0
2024-05-07,-38.0,52.0,2,1,0,CHOP,0
2024-05-08,54.0,-20.0,1,1,0,CHOP,0
2024-05-09,54.0,54.0,1,1,0,CHOP,0
2024-05-10,57.0,0.0,1,0,0,CHOP,0
2024-05-13,51.0,0.0,1,0,0,CHOP,0
2024-05-14,-28.0,-42.0,3,1,1,CHOP,0
2024-05-15,-178.0,-46.0,2,1,0,CHOP,0
2024-05-16,-189.0,-130.0,7,3,2,CHOP,2
2024-05-17,54.0,0.0,1,0,0,CHOP,0
2024-05-20,-205.0,70.0,3,1,1,CHOP,0
2024-05-21,0.0,-4.0,1,1,0,CHOP,0
2024-05-22,138.0,-20.0,3,1,0,CHOP,0
2024-05-23,232.0,262.0,3,3,0,CHOP,0
2024-05-24,-206.0,-42.0,2,1,0,CHOP,0
2024-05-27,-52.0,2.0,2,1,0,CHOP,0
2024-05-28,-111.0,-212.0,2,2,0,CHOP,0
2024-05-29,27.0,-38.0,9,1,0,CHOP,0
2024-05-30,-66.0,48.0,2,1,0,CHOP,0
2024-05-31,-469.0,8.0,3,1,0,CHOP,0
2024-06-03,63.0,86.0,1,1,0,CHOP,0
2024-06-04,73.0,103.0,1,1,0,CHOP,0
2024-06-05,-242.0,-276.0,6,3,3,CHOP,2
2024-06-06,219.0,219.0,2,2,0,CHOP,0
2024-06-07,54.0,98.0,1,1,0,CHOP,0
2024-06-10,-227.0,-78.0,2,1,0,CHOP,0
2024-06-11,-207.0,0.0,3,1,0,CHOP,0
2024-06-12,59.0,103.0,1,1,0,CHOP,0
2024-06-13,-48.0,89.0,2,1,0,CHOP,0
2024-06-14,-280.0,90.0,3,1,0,CHOP,0
2024-06-17,50.0,-84.0,1,1,0,CHOP,0
2024-06-18,0.0,-30.0,1,1,0,CHOP,0
2024-06-19,0.0,44.0,1,1,0,CHOP,0
2024-06-20,68.0,115.0,1,1,0,CHOP,0
2024-06-24,314.0,20.0,4,3,2,CHOP,2
2024-06-25,66.0,68.0,1,1,0,CHOP,0
2024-06-26,50.0,0.0,1,0,0,CHOP,0
2024-06-27,-65.0,14.0,2,1,0,CHOP,0
2024-06-28,-625.0,-126.0,2,1,0,CHOP,0
2024-07-01,-109.0,-374.0,4,2,3,CHOP,2
2024-07-02,53.0,0.0,1,0,0,CHOP,0
2024-07-03,55.0,-14.0,1,1,0,CHOP,0
2024-07-04,-22.0,0.0,5,3,6,CHOP,6
2024-07-05,-597.0,-352.0,3,2,0,CHOP,0
2024-07-08,-423.0,-280.0,2,1,0,CHOP,0
2024-07-09,-249.0,-152.0,4,3,2,CHOP,2
2024-07-10,58.0,0.0,1,0,0,CHOP,0
2024-07-11,54.0,52.0,1,1,0,CHOP,0
2024-07-12,104.0,72.0,3,1,0,CHOP,0
2024-07-15,133.0,172.0,3,2,0,CHOP,0
2024-07-16,328.0,444.0,5,2,0,CHOP,0
2024-07-17,54.0,97.0,1,1,0,CHOP,0
2024-07-18,173.0,104.0,5,1,0,CHOP,0
2024-07-19,66.0,34.0,1,1,0,CHOP,0
2024-07-22,-15.0,61.0,2,1,0,CHOP,0
2024-07-23,-76.0,26.0,2,1,0,CHOP,0
2024-07-24,222.0,295.0,7,2,4,CHOP,4
2024-07-25,380.0,137.0,5,3,0,CHOP,0
2024-07-26,-54.0,93.0,5,1,4,CHOP,4
2024-07-29,0.0,0.0,1,0,0,CHOP,0
2024-07-30,279.0,94.0,4,2,0,CHOP,0
2024-07-31,301.0,7.0,4,2,0,CHOP,0
2024-08-01,355.0,97.0,5,3,2,CHOP,2
