date,total_pts,trades,mode,blocked,first_trade_holds
2023-12-19,24.0,2,TREND,0,0
2024-01-10,-180.0,2,CHOP,0,0
2024-02-13,253.0,1,CHOP,0,0
2024-02-22,30.0,1,CHOP,0,0
2024-02-26,-108.0,1,TREND,0,0
2024-02-27,-40.0,1,CHOP,0,0
2024-02-28,48.0,1,CHOP,0,0
2024-02-29,103.0,2,CHOP,0,0
2024-03-01,99.0,2,CHOP,0,0
2024-03-04,28.0,1,CHOP,0,0
2024-03-05,-258.0,3,CHOP,0,0
2024-03-06,-152.0,2,CHOP,0,0
2024-03-07,-16.0,1,TREND,0,0
2024-03-08,24.0,1,TREND,0,0
2024-03-11,39.0,2,TREND,0,0
2024-03-12,22.0,2,TREND,1,0
2024-03-13,98.0,1,TREND,0,0
2024-03-14,157.0,1,TREND,0,0
2024-03-15,-138.0,2,TREND,1,1
2024-03-18,-64.0,2,TREND,0,0
2024-03-19,4.0,1,TREND,0,0
2024-03-20,90.0,1,TREND,1,1
2024-03-21,91.0,1,TREND,0,0
2024-03-22,189.0,1,CHOP,0,0
2024-03-25,52.0,1,TREND,1,0
2024-03-26,-84.0,1,TREND,1,0
2024-03-27,-126.0,2,TREND,0,0
2024-03-28,54.0,1,TREND,0,0
2024-04-01,199.0,2,TREND,0,0
2024-04-02,56.0,2,TREND,0,0
2024-04-03,106.0,2,CHOP,0,0
2024-04-04,124.0,2,TREND,0,0
2024-04-05,77.0,1,TREND,0,0
2024-04-08,-268.0,2,CHOP,0,0
2024-04-09,279.0,1,TREND,1,0
2024-04-10,-2.0,1,TREND,0,0
2024-04-11,177.0,1,CHOP,0,0
2024-04-12,-264.0,3,TREND,1,1
2024-04-15,311.0,1,TREND,0,0
2024-04-16,-98.0,2,TREND,1,1
2024-04-17,-116.0,2,TREND,0,0
2024-04-18,111.0,1,TREND,0,0
2024-04-19,77.0,1,TREND,1,0
2024-04-22,20.0,1,TREND,2,0
2024-04-23,-10.0,1,TREND,1,0
2024-04-24,-154.0,2,TREND,2,0
2024-04-25,90.0,1,TREND,0,0
2024-04-26,102.0,1,TREND,1,0
2024-04-29,14.0,1,CHOP,1,0
2024-04-30,-306.0,3,TREND,0,0
2024-05-01,-70.0,1,TREND,2,0
2024-05-02,1.0,1,TREND,0,0
2024-05-03,153.0,1,TREND,0,0
2024-05-06,91.0,1,TREND,1,0
2024-05-07,32.0,2,TREND,0,0
2024-05-08,-20.0,1,TREND,0,0
2024-05-09,232.0,2,TREND,0,0
2024-05-10,-36.0,2,TREND,1,0
2024-05-13,44.0,2,TREND,1,0
2024-05-14,70.0,1,TREND,0,0
2024-05-15,-176.0,2,TREND,0,0
2024-05-16,-76.0,2,CHOP,2,1
2024-05-17,-50.0,1,CHOP,2,0
2024-05-20,173.0,1,TREND,0,0
2024-05-21,-4.0,1,TREND,0,0
2024-05-22,-20.0,1,TREND,0,0
2024-05-23,183.0,2,TREND,1,0
2024-05-24,-42.0,1,TREND,0,0
2024-05-27,2.0,1,TREND,0,0
2024-05-28,-106.0,2,TREND,1,1
2024-05-29,-38.0,1,TREND,0,0
2024-05-30,-68.0,2,TREND,0,0
2024-05-31,8.0,1,TREND,0,0
2024-06-03,86.0,1,TREND,0,0
2024-06-04,103.0,1,TREND,0,0
2024-06-05,-366.0,4,CHOP,2,2
2024-06-06,172.0,2,TREND,1,0
2024-06-07,-22.0,2,TREND,0,0
2024-06-10,-78.0,1,TREND,0,0
2024-06-11,-15.0,2,TREND,0,0
2024-06-12,103.0,1,TREND,0,0
2024-06-13,168.0,1,TREND,2,0
2024-06-14,90.0,1,CHOP,0,0
2024-06-17,-148.0,2,TREND,0,0
2024-06-18,-30.0,1,TREND,0,0
2024-06-19,-16.0,2,TREND,5,2
2024-06-20,122.0,3,TREND,0,0
2024-06-24,192.0,2,TREND,1,0
2024-06-25,68.0,1,TREND,0,0
2024-06-26,-58.0,1,TREND,1,0
2024-06-27,14.0,1,TREND,0,0
2024-06-28,-124.0,2,TREND,0,0
2024-07-01,-72.0,2,TREND,1,1
2024-07-02,2.0,1,TREND,1,0
2024-07-03,-14.0,1,TREND,0,0
2024-07-04,92.0,1,TREND,2,1
2024-07-05,-172.0,2,TREND,0,0
2024-07-08,-152.0,2,TREND,0,0
2024-07-09,90.0,1,TREND,1,0
2024-07-10,-8.0,1,CHOP,1,0
2024-07-11,52.0,1,CHOP,0,0
2024-07-12,72.0,1,CHOP,0,0
2024-07-15,66.0,1,TREND,4,0
2024-07-16,398.0,1,TREND,1,0
2024-07-17,97.0,1,TREND,0,0
2024-07-18,121.0,1,TREND,0,0
2024-07-19,34.0,1,TREND,0,0
2024-07-22,61.0,1,TREND,0,0
2024-07-23,26.0,1,TREND,0,0
2024-07-24,222.0,1,TREND,5,1
2024-07-25,165.0,1,TREND,1,0
2024-07-26,-88.0,3,TREND,2,2
2024-07-29,44.0,1,TREND,1,0
2024-07-30,146.0,2,TREND,0,0
2024-07-31,116.0,2,TREND,0,0
2024-08-01,811.0,1,TREND,1,0
2024-08-02,439.0,1,TREND,2,0
2024-08-05,-151.0,3,TREND,1,1
2024-08-06,173.0,3,TREND,1,0
2024-08-07,69.0,1,TREND,0,0
2024-08-08,-52.0,3,TREND,1,1
2024-08-09,-226.0,2,TREND,0,0
2024-08-12,24.0,1,TREND,0,0
2024-08-13,-322.0,3,TREND,0,0
2024-08-14,-172.0,2,TREND,0,0
2024-08-15,61.0,1,TREND,1,0
2024-08-16,-136.0,2,TREND,0,0
2024-08-19,-126.0,2,TREND,0,0
2024-08-20,-6.0,1,TREND,0,0
2024-08-21,14.0,1,TREND,0,0
2024-08-22,164.0,2,TREND,0,0
2024-08-23,-119.0,2,TREND,1,1
2024-08-26,110.0,2,CHOP,0,0
2024-08-27,-122.0,2,TREND,0,0
2024-08-28,3.0,1,TREND,0,0
2024-08-29,-148.0,2,TREND,0,0
2024-08-30,-166.0,2,TREND,0,0
2024-09-02,10.0,1,TREND,0,0
2024-09-03,228.0,2,TREND,0,0
2024-09-04,-48.0,2,TREND,0,0
2024-09-05,30.0,1,TREND,0,0
2024-09-06,101.0,1,TREND,0,0
2024-09-09,384.0,1,TREND,0,0
2024-09-10,164.0,1,TREND,0,0
2024-09-11,325.0,1,TREND,3,1
2024-09-12,0.0,3,TREND,0,0
2024-09-13,102.0,1,TREND,0,0
2024-09-16,-252.0,3,TREND,1,0
2024-09-17,-76.0,3,TREND,0,0
2024-09-18,-138.0,2,TREND,0,0
2024-09-19,-59.0,2,TREND,0,0
2024-09-23,-136.0,2,TREND,1,1
2024-09-24,-140.0,2,TREND,0,0
2024-09-25,115.0,1,TREND,0,0
2024-09-26,40.0,1,TREND,1,1
2024-09-27,174.0,1,TREND,0,0
2024-09-30,-172.0,2,TREND,0,0
2024-10-01,58.0,1,TREND,0,0
2024-10-02,-6.0,1,TREND,0,0
2024-10-03,-239.0,3,TREND,0,0
2024-10-04,115.0,1,TREND,1,0
2024-10-07,27.0,1,TREND,0,0
2024-10-08,-12.0,1,TREND,2,0
2024-10-09,-23.0,2,TREND,1,1
2024-10-10,-42.0,1,TREND,0,0
2024-10-11,148.0,1,TREND,0,0
2024-10-14,70.0,1,TREND,0,0
2024-10-15,-232.0,3,TREND,1,1
2024-10-16,141.0,1,TREND,2,0
2024-10-17,-16.0,1,TREND,0,0
2024-10-18,-112.0,2,TREND,0,0
2024-10-21,150.0,2,TREND,0,0
2024-10-22,26.0,1,TREND,1,0
2024-10-23,66.0,2,TREND,0,0
2024-10-24,-166.0,2,TREND,0,0
2024-10-25,-220.0,2,TREND,1,0
2024-10-28,-264.0,3,TREND,0,0
2024-10-29,186.0,1,TREND,1,0
2024-10-30,-102.0,2,TREND,3,2
2024-10-31,65.0,2,TREND,1,0
2024-11-01,30.0,2,TREND,3,0
2024-11-04,74.0,2,TREND,0,0
2024-11-05,331.0,3,TREND,0,0
2024-11-06,-88.0,2,TREND,1,1
2024-11-07,-126.0,2,TREND,0,0
2024-11-08,146.0,1,TREND,1,0
2024-11-11,-296.0,3,CHOP,1,1
2024-11-12,155.0,2,TREND,0,0
2024-11-13,63.0,1,TREND,0,0
2024-11-14,-292.0,2,TREND,1,1
2024-11-15,94.0,1,TREND,0,0
2024-11-18,-108.0,1,TREND,0,0
2024-11-19,-148.0,2,TREND,0,0
2024-11-20,106.0,1,TREND,0,0
2024-11-21,-152.0,2,TREND,0,0
2024-11-22,-36.0,2,TREND,0,0
2024-11-25,128.0,2,TREND,1,0
2024-11-26,18.0,2,TREND,1,1
2024-11-27,2.0,1,TREND,0,0
2024-11-28,-74.0,3,TREND,0,0
2024-11-29,-4.0,1,TREND,2,0
2024-12-02,132.0,2,TREND,3,1
2024-12-03,66.0,1,TREND,1,1
2024-12-04,-49.0,3,TREND,0,0
2024-12-05,36.0,1,CHOP,0,0
2024-12-06,-2.0,1,TREND,0,0
2024-12-09,-122.0,2,CHOP,0,0
2024-12-10,12.0,1,TREND,0,0
2024-12-11,80.0,1,CHOP,2,1
2024-12-12,-166.0,2,TREND,1,1
2024-12-13,86.0,1,TREND,2,0
2024-12-16,-2.0,2,TREND,0,0
2024-12-17,-132.0,2,TREND,0,0
2024-12-18,97.0,1,TREND,0,0
2024-12-19,134.0,2,TREND,1,0
2024-12-23,111.0,1,TREND,1,0
2024-12-24,248.0,1,TREND,0,0
2024-12-26,-170.0,2,CHOP,1,1
2024-12-27,-8.0,2,TREND,2,0
2024-12-30,70.0,2,TREND,3,1
2024-12-31,-218.0,2,TREND,0,0
2025-01-02,-31.0,2,TREND,0,0
2025-01-03,28.0,1,TREND,0,0
2025-01-06,106.0,1,CHOP,1,1
2025-01-07,316.0,1,TREND,0,0
2025-01-08,101.0,1,TREND,1,0
