date,exp_pl,pin_pl,exp_trades,pin_trades,pin_mode
2023-12-19,-10.0,-180.0,2,3,CHOP
2024-01-10,0.0,-180.0,2,4,CHOP
2024-02-13,76.0,-158.0,3,5,CHOP
2024-02-22,30.0,56.0,3,5,CHOP
2024-02-26,-108.0,-108.0,2,2,CHOP
2024-02-27,-40.0,-40.0,2,2,CHOP
2024-02-28,48.0,48.0,2,4,CHOP
2024-02-29,109.0,108.0,3,4,CHOP
2024-03-01,-33.0,-33.0,4,4,CHOP
2024-03-04,28.0,28.0,2,2,CHOP
2024-03-05,-342.0,-370.0,3,5,CHOP
2024-03-06,-34.0,-34.0,2,2,CHOP
2024-03-07,-16.0,-16.0,2,2,CHOP
2024-03-08,24.0,24.0,3,3,CHOP
2024-03-11,104.0,37.0,3,5,CHOP
2024-03-12,106.0,55.0,3,4,CHOP
2024-03-13,98.0,98.0,3,3,CHOP
2024-03-14,62.0,145.0,2,3,CHOP
2024-03-15,-136.0,-136.0,2,2,CHOP
2024-03-18,-232.0,-154.0,3,4,CHOP
2024-03-19,4.0,4.0,2,2,CHOP
2024-03-20,90.0,90.0,3,3,CHOP
2024-03-21,91.0,91.0,3,3,CHOP
2024-03-22,55.0,-48.0,2,5,CHOP
2024-03-25,-24.0,-52.0,2,2,CHOP
2024-03-26,0.0,-88.0,0,2,CHOP
2024-03-27,-182.0,-182.0,2,2,CHOP
2024-03-28,54.0,46.0,2,4,CHOP
2024-04-01,55.0,182.0,2,5,CHOP
2024-04-02,-70.0,-70.0,2,2,CHOP
2024-04-03,102.0,111.0,3,5,CHOP
2024-04-04,108.0,129.0,3,5,CHOP
2024-04-05,-62.0,91.0,2,3,CHOP
2024-04-08,-306.0,-306.0,3,3,CHOP
2024-04-09,221.0,221.0,4,4,CHOP
2024-04-10,0.0,-2.0,0,2,CHOP
2024-04-11,93.0,183.0,3,3,CHOP
2024-04-12,-152.0,-44.0,3,4,CHOP
2024-04-15,51.0,303.0,2,3,CHOP
2024-04-16,70.0,40.0,2,4,CHOP
2024-04-17,-246.0,-246.0,3,3,CHOP
2024-04-18,111.0,111.0,3,3,CHOP
2024-04-19,-40.0,-40.0,3,3,CHOP
2024-04-22,0.0,20.0,0,2,CHOP
2024-04-23,-14.0,-14.0,3,3,CHOP
2024-04-24,-88.0,-88.0,2,2,CHOP
2024-04-25,90.0,90.0,3,3,CHOP
2024-04-26,237.0,237.0,4,4,CHOP
2024-04-29,0.0,14.0,0,2,CHOP
2024-04-30,-288.0,-222.0,3,4,CHOP
2024-05-01,0.0,4.0,0,2,CHOP
2024-05-02,1.0,1.0,3,3,CHOP
2024-05-03,102.0,166.0,3,3,CHOP
2024-05-06,26.0,93.0,2,3,CHOP
2024-05-07,52.0,56.0,2,4,CHOP
2024-05-08,-20.0,-20.0,2,2,CHOP
2024-05-09,54.0,193.0,2,5,CHOP
2024-05-10,0.0,-36.0,0,4,CHOP
2024-05-13,0.0,-56.0,0,2,CHOP
2024-05-14,-42.0,-42.0,2,2,CHOP
2024-05-15,-46.0,-46.0,2,2,CHOP
2024-05-16,-130.0,-130.0,4,4,CHOP
2024-05-17,0.0,-56.0,0,2,CHOP
2024-05-20,70.0,70.0,2,2,CHOP
2024-05-21,-4.0,-4.0,2,2,CHOP
2024-05-22,-20.0,-20.0,2,2,CHOP
2024-05-23,262.0,279.0,6,6,CHOP
2024-05-24,-42.0,-42.0,2,2,CHOP
2024-05-27,2.0,2.0,2,2,CHOP
2024-05-28,-212.0,-150.0,3,4,CHOP
2024-05-29,-38.0,-38.0,2,2,CHOP
2024-05-30,48.0,-46.0,3,4,CHOP
2024-05-31,8.0,8.0,2,2,CHOP
2024-06-03,86.0,86.0,3,3,CHOP
2024-06-04,103.0,103.0,3,3,CHOP
2024-06-05,-276.0,-276.0,4,4,CHOP
2024-06-06,219.0,351.0,4,5,CHOP
2024-06-07,98.0,98.0,3,3,CHOP
2024-06-10,-78.0,-78.0,2,2,CHOP
2024-06-11,0.0,0.0,3,3,CHOP
2024-06-12,103.0,103.0,3,3,CHOP
2024-06-13,89.0,148.0,3,3,CHOP
2024-06-14,90.0,90.0,3,3,CHOP
2024-06-17,-84.0,-84.0,2,2,CHOP
2024-06-18,-30.0,-30.0,2,2,CHOP
2024-06-19,44.0,-18.0,2,3,CHOP
2024-06-20,115.0,155.0,3,7,CHOP
2024-06-24,20.0,42.0,5,6,CHOP
2024-06-25,68.0,68.0,3,3,CHOP
2024-06-26,0.0,-48.0,0,2,CHOP
2024-06-27,14.0,14.0,2,2,CHOP
2024-06-28,-126.0,-126.0,2,2,CHOP
2024-07-01,-374.0,-374.0,3,3,CHOP
2024-07-02,0.0,-34.0,0,2,CHOP
2024-07-03,-14.0,-14.0,2,2,CHOP
2024-07-04,0.0,0.0,4,4,CHOP
2024-07-05,-352.0,-352.0,3,3,CHOP
2024-07-08,-280.0,-280.0,2,2,CHOP
2024-07-09,-152.0,-152.0,5,5,CHOP
2024-07-10,0.0,-8.0,0,2,CHOP
2024-07-11,52.0,52.0,3,3,CHOP
2024-07-12,72.0,72.0,2,2,CHOP
2024-07-15,172.0,-108.0,4,4,CHOP
2024-07-16,444.0,444.0,4,4,CHOP
2024-07-17,97.0,97.0,3,3,CHOP
2024-07-18,104.0,104.0,3,3,CHOP
2024-07-19,34.0,34.0,2,2,CHOP
2024-07-22,61.0,61.0,3,3,CHOP
2024-07-23,26.0,26.0,2,2,CHOP
2024-07-24,295.0,295.0,4,4,CHOP
2024-07-25,137.0,137.0,6,6,CHOP
2024-07-26,93.0,73.0,3,5,CHOP
2024-07-29,0.0,44.0,0,2,CHOP
2024-07-30,94.0,142.0,4,5,CHOP
2024-07-31,7.0,66.0,5,5,CHOP
2024-08-01,97.0,97.0,5,5,CHOP
2024-08-02,167.0,167.0,4,4,CHOP
2024-08-05,-5.0,-5.0,3,3,CHOP
2024-08-06,101.0,101.0,6,6,CHOP
2024-08-07,69.0,-18.0,3,4,CHOP
2024-08-08,65.0,188.0,2,5,CHOP
2024-08-09,-436.0,-468.0,3,5,CHOP
2024-08-12,24.0,24.0,3,3,CHOP
2024-08-13,-434.0,-434.0,3,3,CHOP
2024-08-14,-8.0,-8.0,2,2,CHOP
2024-08-15,201.0,201.0,5,5,CHOP
2024-08-16,-336.0,-262.0,4,5,CHOP
2024-08-19,-26.0,-26.0,2,2,CHOP
2024-08-20,0.0,-2.0,0,2,CHOP
2024-08-21,14.0,14.0,3,3,CHOP
2024-08-22,100.0,164.0,3,5,CHOP
2024-08-23,1.0,1.0,6,6,CHOP
2024-08-26,74.0,178.0,3,5,CHOP
2024-08-27,-8.0,-8.0,2,2,CHOP
