date,entry_time,exit_time,direction,entry_price,exit_price,realized_pl,max_favorable_excursion,max_adverse_excursion,bars_held,day_type,entry_type,partial_tp_before,hard_stop_exit,time_bucket
2024-01-10,09:58:00,10:02:00,long,38240.0,38150.0,-180.0,0.0,-90.0,4,TREND,CHOP_BUY,False,True,10:00-10:30
2024-03-05,09:52:00,10:00:00,short,39226.0,39300.0,-148.0,7.0,-74.0,8,TREND,TREND_SHORT,False,True,10:00-10:30
2024-03-05,10:04:00,10:08:00,long,39336.0,39271.0,-130.0,0.0,-65.0,4,TREND,TREND_LONG,False,True,10:00-10:30
2024-03-06,09:48:00,10:11:00,short,39150.0,39210.0,-120.0,0.0,-60.0,23,TREND,TREND_SHORT,False,True,10:00-10:30
2024-03-12,10:05:00,10:22:00,short,39279.0,39348.0,-138.0,0.0,-69.0,17,TREND,CHOP_SELL,False,True,10:00-10:30
2024-03-15,09:53:00,10:14:00,short,39173.0,39234.0,-122.0,0.0,-61.0,21,TREND,TREND_SHORT,False,True,10:00-10:30
2024-03-18,09:47:00,10:08:00,short,39209.0,39271.0,-124.0,4.0,-62.0,21,TREND,TREND_SHORT,False,True,10:00-10:30
2024-03-27,09:48:00,10:06:00,long,39974.0,39911.0,-126.0,1.0,-63.0,18,TREND,TREND_LONG,False,True,10:00-10:30
2024-04-08,09:45:00,09:59:00,long,39319.0,39245.0,-148.0,2.0,-74.0,14,TREND,TREND_LONG,False,True,09:30-10:00
2024-04-12,09:46:00,09:52:00,long,38551.0,38475.0,-152.0,0.0,-76.0,6,TREND,TREND_LONG,False,True,09:30-10:00
2024-04-12,10:00:00,10:08:00,long,38501.0,38411.0,-180.0,0.0,-90.0,8,TREND,CHOP_BUY,False,True,10:00-10:30
2024-04-16,09:42:00,09:56:00,short,38086.0,38151.0,-130.0,34.0,-65.0,14,TREND,TREND_SHORT,False,True,09:30-10:00
2024-04-17,09:42:00,10:00:00,long,38225.0,38164.0,-122.0,29.0,-61.0,18,TREND,TREND_LONG,False,True,10:00-10:30
2024-04-24,10:08:00,10:17:00,long,38737.0,38665.0,-144.0,0.0,-72.0,9,TREND,TREND_LONG,False,True,10:00-10:30
2024-04-30,09:53:00,10:17:00,short,38353.0,38424.0,-142.0,29.0,-71.0,24,TREND,TREND_SHORT,False,True,10:00-10:30
2024-04-30,10:18:00,10:29:00,long,38430.0,38361.0,-138.0,0.0,-69.0,11,TREND,TREND_LONG,False,True,10:00-10:30
2024-05-15,09:42:00,09:53:00,long,39881.0,39815.0,-132.0,0.0,-66.0,11,TREND,CHOP_BUY,False,True,09:30-10:00
2024-05-16,09:43:00,10:10:00,short,40025.0,40094.0,-138.0,1.0,-69.0,27,TREND,TREND_SHORT,False,True,10:00-10:30
2024-05-28,09:44:00,09:56:00,long,39082.0,39020.0,-124.0,14.0,-62.0,12,TREND,TREND_LONG,False,True,09:30-10:00
2024-06-05,09:45:00,09:53:00,long,38813.0,38743.0,-140.0,2.0,-70.0,8,TREND,CHOP_BUY,False,True,09:30-10:00
2024-06-05,09:59:00,10:05:00,long,38737.0,38677.0,-120.0,0.0,-60.0,6,TREND,TREND_LONG,False,True,10:00-10:30
2024-06-05,10:09:00,10:23:00,short,38629.0,38691.0,-124.0,0.0,-62.0,14,TREND,TREND_SHORT,False,True,10:00-10:30
2024-06-07,09:43:00,09:47:00,long,38939.0,38878.0,-122.0,0.0,-61.0,4,TREND,TREND_LONG,False,True,09:30-10:00
2024-06-11,09:42:00,10:24:00,short,38588.0,38648.0,-60.0,79.0,-60.0,42,TREND,TREND_SHORT,True,True,10:00-10:30
2024-06-17,09:50:00,09:59:00,long,38576.0,38499.0,-154.0,1.0,-77.0,9,TREND,TREND_LONG,False,True,09:30-10:00
2024-06-28,10:12:00,10:16:00,long,39804.0,39740.0,-128.0,0.0,-64.0,4,TREND,TREND_LONG,False,True,10:00-10:30
2024-07-01,09:46:00,10:01:00,long,39762.0,39700.0,-124.0,36.0,-62.0,15,TREND,TREND_LONG,False,True,10:00-10:30
2024-07-05,09:43:00,09:47:00,long,39668.0,39600.0,-136.0,0.0,-68.0,4,TREND,TREND_LONG,False,True,09:30-10:00
2024-07-08,09:47:00,09:56:00,long,39998.0,39925.0,-146.0,0.0,-73.0,9,TREND,TREND_LONG,False,True,09:30-10:00
2024-07-26,10:01:00,10:09:00,long,40763.0,40695.0,-136.0,22.0,-68.0,8,TREND,TREND_LONG,True,True,10:00-10:30
2024-07-31,09:54:00,10:11:00,short,40921.0,41000.0,-79.0,59.0,-79.0,17,TREND,TREND_SHORT,True,True,10:00-10:30
2024-08-05,09:47:00,09:59:00,long,38846.0,38777.0,-69.0,92.0,-69.0,12,TREND,TREND_LONG,True,True,09:30-10:00
2024-08-05,10:00:00,10:03:00,long,39075.0,38995.0,-160.0,26.0,-80.0,3,TREND,TREND_LONG,True,True,10:00-10:30
2024-08-06,10:25:00,10:29:00,long,39283.0,39185.0,-196.0,0.0,-98.0,4,TREND,TREND_LONG,True,True,10:00-10:30
2024-08-08,09:46:00,09:48:00,long,39290.0,39198.0,-184.0,0.0,-92.0,2,TREND,TREND_LONG,False,True,09:30-10:00
2024-08-09,09:49:00,09:54:00,short,39375.0,39445.0,-140.0,0.0,-70.0,5,TREND,TREND_SHORT,False,True,09:30-10:00
2024-08-13,09:45:00,09:55:00,long,39725.0,39619.0,-212.0,30.0,-106.0,10,TREND,TREND_LONG,False,True,09:30-10:00
2024-08-13,10:05:00,10:27:00,short,39531.0,39596.0,-130.0,16.0,-65.0,22,TREND,TREND_SHORT,False,True,10:00-10:30
2024-08-14,09:43:00,10:05:00,long,39945.0,39878.0,-134.0,39.0,-67.0,22,TREND,TREND_LONG,False,True,10:00-10:30
2024-08-16,09:43:00,10:00:00,short,40624.0,40712.0,-176.0,0.0,-88.0,17,TREND,TREND_SHORT,False,True,10:00-10:30
2024-08-19,09:58:00,10:07:00,short,40878.0,40945.0,-134.0,0.0,-67.0,9,TREND,CHOP_SELL,False,True,10:00-10:30
2024-08-23,09:50:00,10:00:00,short,40967.0,41077.0,-220.0,15.0,-110.0,10,TREND,TREND_SHORT,False,True,10:00-10:30
2024-08-27,09:43:00,09:57:00,long,41338.0,41273.0,-130.0,12.0,-65.0,14,TREND,TREND_LONG,False,True,09:30-10:00
2024-08-29,09:46:00,09:56:00,short,41220.0,41293.0,-146.0,38.0,-73.0,10,TREND,TREND_SHORT,False,True,09:30-10:00
