date,time,time_bucket,trade_type,direction,realized_pl,contracts,bars_held,day_type,mode
2023-12-19,09:46:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2023-12-19,10:00:00,10:00-10:30,CHOP_TP,long,24.0,0,14,CHOP,
2023-12-19,10:10:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2023-12-19,10:30:00,10:30-11:00,SESSION_EXIT,long,0.0,0,20,CHOP,
2024-01-10,09:58:00,09:30-10:00,CHOP_BUY,long,0.0,2,0,CHOP,
2024-01-10,10:02:00,10:00-10:30,EXIT_FLAT,long,-180.0,0,4,TREND,
2024-01-10,10:03:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-01-10,10:30:00,10:30-11:00,SESSION_EXIT,short,0.0,0,27,CHOP,
2024-02-13,09:47:00,09:30-10:00,CHOP_SELL,short,0.0,2,0,CHOP,
2024-02-13,09:53:00,09:30-10:00,PARTIAL_TP,short,117.0,1,6,TREND,
2024-02-13,10:41:00,10:30-11:00,SESSION_EXIT,short,136.0,0,54,CHOP,
2024-02-22,09:48:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-02-22,09:51:00,09:30-10:00,PARTIAL_TP,long,50.0,1,3,TREND,
2024-02-22,10:30:00,10:30-11:00,SESSION_EXIT,long,-20.0,0,42,TREND,
2024-02-26,09:43:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-02-26,10:30:00,10:30-11:00,SESSION_EXIT,long,-108.0,0,47,TREND,
2024-02-27,09:51:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-02-27,10:30:00,10:30-11:00,SESSION_EXIT,short,-40.0,0,39,CHOP,
2024-02-28,09:46:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-02-28,10:30:00,10:30-11:00,SESSION_EXIT,long,48.0,0,44,TREND,
2024-02-29,09:54:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-02-29,10:06:00,10:00-10:30,CHOP_TP,short,26.0,0,12,CHOP,
2024-02-29,10:07:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-02-29,10:11:00,10:00-10:30,PARTIAL_TP,short,55.0,1,4,TREND,
2024-02-29,10:30:00,10:30-11:00,SESSION_EXIT,short,22.0,0,23,TREND,
2024-03-01,09:42:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-03-01,09:53:00,09:30-10:00,PARTIAL_TP,short,53.0,1,11,TREND,
2024-03-01,10:14:00,10:00-10:30,CHOP_TP,short,42.0,0,32,CHOP,
2024-03-01,10:28:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-03-01,10:30:00,10:30-11:00,SESSION_EXIT,long,4.0,0,2,TREND,
2024-03-04,09:50:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-03-04,10:30:00,10:30-11:00,SESSION_EXIT,long,28.0,0,40,TREND,
2024-03-05,09:52:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-03-05,10:00:00,10:00-10:30,EXIT_FLAT,short,-148.0,0,8,TREND,
2024-03-05,10:04:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-03-05,10:08:00,10:00-10:30,EXIT_FLAT,long,-130.0,0,4,TREND,
2024-03-05,10:24:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-03-05,10:30:00,10:30-11:00,SESSION_EXIT,long,20.0,0,6,TREND,
2024-03-06,09:48:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-03-06,10:11:00,10:00-10:30,EXIT_FLAT,short,-120.0,0,23,TREND,
2024-03-06,10:50:00,10:30-11:00,CHOP_SELL,short,0.0,2,0,CHOP,
2024-03-06,10:51:00,10:30-11:00,SESSION_EXIT,short,-32.0,0,1,CHOP,
2024-03-07,09:45:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-03-07,10:30:00,10:30-11:00,SESSION_EXIT,short,-16.0,0,45,TREND,
2024-03-08,09:44:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-03-08,09:47:00,09:30-10:00,PARTIAL_TP,long,58.0,1,3,TREND,
2024-03-08,10:30:00,10:30-11:00,SESSION_EXIT,long,-34.0,0,46,TREND,
2024-03-11,10:00:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-03-11,10:07:00,10:00-10:30,PARTIAL_TP,short,64.0,1,7,TREND,
