date,sig_yellows,sig_oranges,bearish_score,bullish_score,session_range,classification,resolve_direction,trend_score
2023-09-19,1,1,0,0,90.0,COMPRESSION,NEUTRAL,0
2023-09-20,2,1,1,0,214.0,CHOP,NEUTRAL,1
2023-09-21,1,1,0,0,123.0,COMPRESSION,NEUTRAL,0
2023-09-25,1,1,0,0,78.0,COMPRESSION,NEUTRAL,0
2023-09-27,1,1,0,0,265.0,CHOP,NEUTRAL,0
2023-09-29,2,1,1,0,121.0,COMPRESSION,NEUTRAL,1
2023-10-02,1,1,0,0,200.0,CHOP,NEUTRAL,0
2023-10-04,1,1,0,0,102.0,COMPRESSION,NEUTRAL,0
2023-10-05,1,2,0,1,102.0,COMPRESSION,NEUTRAL,1
2023-10-06,1,1,0,0,102.0,COMPRESSION,NEUTRAL,0
2023-10-09,1,1,0,0,253.0,CHOP,NEUTRAL,0
2023-10-19,1,1,0,0,250.0,CHOP,NEUTRAL,0
2023-10-24,1,1,0,0,200.0,CHOP,NEUTRAL,0
2023-10-25,2,1,1,0,200.0,CHOP,NEUTRAL,1
2023-10-26,1,1,0,0,200.0,CHOP,NEUTRAL,0
2023-10-30,1,1,0,0,374.0,CHOP,NEUTRAL,0
2023-10-31,1,1,0,0,98.0,COMPRESSION,NEUTRAL,0
2023-11-01,1,1,0,0,50.0,COMPRESSION,NEUTRAL,0
2023-11-08,2,1,1,0,102.0,COMPRESSION,NEUTRAL,1
2023-11-09,1,1,0,0,219.0,CHOP,NEUTRAL,0
2023-11-10,1,1,0,0,323.0,CHOP,NEUTRAL,0
2023-11-14,1,1,0,0,311.0,CHOP,NEUTRAL,0
2023-11-15,1,1,0,0,91.0,COMPRESSION,NEUTRAL,0
2023-11-16,1,1,0,0,2.0,COMPRESSION,NEUTRAL,0
2023-11-28,1,1,0,0,230.0,CHOP,NEUTRAL,0
2023-11-29,1,1,0,0,126.0,COMPRESSION,NEUTRAL,0
2023-11-30,1,1,0,0,371.0,CHOP,NEUTRAL,0
2023-12-01,1,1,0,0,249.0,CHOP,NEUTRAL,0
2023-12-04,1,1,0,0,4.0,COMPRESSION,NEUTRAL,0
2023-12-06,2,1,1,0,100.0,COMPRESSION,NEUTRAL,1
2023-12-11,1,1,0,0,128.0,COMPRESSION,NEUTRAL,0
2023-12-13,1,2,0,1,561.0,CHOP,NEUTRAL,1
2023-12-14,1,1,0,0,150.0,CHOP,NEUTRAL,0
2023-12-15,1,3,0,2,164.0,MIXED,BULLISH,2
2023-12-18,1,1,0,0,24.0,COMPRESSION,NEUTRAL,0
2023-12-19,1,1,0,0,173.0,CHOP,NEUTRAL,0
2023-12-20,2,1,1,0,505.0,CHOP,NEUTRAL,1
2023-12-21,3,2,2,1,228.0,MIXED,NEUTRAL,2
2023-12-22,1,1,0,0,240.0,CHOP,NEUTRAL,0
2023-12-26,1,2,0,1,142.0,COMPRESSION,NEUTRAL,1
2023-12-27,1,1,0,0,120.0,COMPRESSION,NEUTRAL,0
2023-12-28,1,1,0,0,99.0,COMPRESSION,NEUTRAL,0
2023-12-29,1,1,0,0,186.0,CHOP,NEUTRAL,0
2024-01-02,1,1,0,0,242.0,CHOP,NEUTRAL,0
2024-01-03,1,3,0,2,178.0,MIXED,BULLISH,2
2024-01-04,1,1,0,0,230.0,CHOP,NEUTRAL,0
2024-01-05,1,1,0,0,317.0,CHOP,NEUTRAL,0
2024-01-08,1,2,0,1,423.0,CHOP,NEUTRAL,1
2024-01-09,1,2,0,1,101.0,COMPRESSION,NEUTRAL,1
2024-01-10,2,4,1,3,208.0,RESOLVE,BULLISH,3
2024-01-11,1,1,0,0,330.0,CHOP,NEUTRAL,0
2024-01-12,3,1,2,0,292.0,MIXED,BEARISH,2
2024-01-15,1,1,0,0,12.0,COMPRESSION,NEUTRAL,0
2024-01-16,1,1,0,0,251.0,CHOP,NEUTRAL,0
2024-01-17,2,1,1,0,200.0,CHOP,NEUTRAL,1
2024-01-18,2,3,1,2,375.0,MIXED,NEUTRAL,2
2024-01-19,1,2,0,1,456.0,CHOP,NEUTRAL,1
2024-01-22,1,1,0,0,150.0,CHOP,NEUTRAL,0
2024-01-23,3,1,2,0,154.0,MIXED,BEARISH,2
2024-01-24,2,1,1,0,223.0,CHOP,NEUTRAL,1
2024-01-25,2,2,1,1,220.0,CHOP,NEUTRAL,1
2024-01-26,1,1,0,0,170.0,CHOP,NEUTRAL,0
2024-01-29,1,1,0,0,260.0,CHOP,NEUTRAL,0
2024-01-30,3,2,2,1,220.0,MIXED,NEUTRAL,2
2024-01-31,3,1,2,0,440.0,MIXED,BEARISH,2
2024-02-01,3,6,2,5,362.0,RESOLVE,BULLISH,5
2024-02-02,1,5,0,4,414.0,RESOLVE,BULLISH,4
2024-02-05,1,1,0,0,341.0,CHOP,NEUTRAL,0
2024-02-06,1,1,0,0,146.0,COMPRESSION,NEUTRAL,0
2024-02-07,2,4,1,3,155.0,RESOLVE,BULLISH,3
