date,total_lines,active_lines_end,retired_lines,orange_count,yellow_count,purple_orig_count,blue_orig_count,purple_profit_count,max_touches,avg_touches,strategic_breaks,quadrant_transitions,final_quadrant,session_range,bearish_resolve_score,bullish_resolve_score,classification,resolve_direction
2023-09-19,5,0,3,2,1,1,1,0,0,0.0,3,1,NEUTRAL,90.0,0,1,COMPRESSION,NEUTRAL
2023-09-20,6,0,4,2,2,1,1,0,0,0.0,4,1,NEUTRAL,214.0,1,1,MIXED,NEUTRAL
2023-09-21,5,0,3,1,2,1,1,0,0,0.0,3,1,NEUTRAL,123.0,1,0,COMPRESSION,NEUTRAL
2023-09-25,6,0,4,1,3,1,1,0,0,0.0,4,1,NEUTRAL,78.0,2,0,COMPRESSION,NEUTRAL
2023-09-27,6,0,4,1,3,1,1,0,0,0.0,4,1,NEUTRAL,265.0,2,0,MIXED,NEUTRAL
2023-09-29,6,0,4,2,2,1,1,0,0,0.0,4,1,NEUTRAL,121.0,1,1,COMPRESSION,NEUTRAL
2023-10-02,5,0,3,1,2,1,1,0,0,0.0,3,1,NEUTRAL,200.0,1,0,MIXED,NEUTRAL
2023-10-04,6,0,4,2,2,1,1,0,0,0.0,4,1,NEUTRAL,102.0,1,1,COMPRESSION,NEUTRAL
2023-10-05,6,0,4,2,2,1,1,0,0,0.0,4,1,NEUTRAL,102.0,1,1,COMPRESSION,NEUTRAL
2023-10-06,5,0,3,2,1,1,1,0,0,0.0,3,1,NEUTRAL,102.0,0,1,COMPRESSION,NEUTRAL
2023-10-09,5,0,3,2,1,1,1,0,0,0.0,3,1,NEUTRAL,253.0,0,1,MIXED,NEUTRAL
2023-10-19,5,0,3,2,1,1,1,0,0,0.0,3,1,NEUTRAL,250.0,0,1,MIXED,NEUTRAL
2023-10-24,5,0,3,2,1,1,1,0,0,0.0,3,1,NEUTRAL,200.0,0,1,MIXED,NEUTRAL
2023-10-25,6,0,4,2,2,1,1,0,0,0.0,4,1,NEUTRAL,200.0,1,1,MIXED,NEUTRAL
2023-10-26,5,0,3,1,2,1,1,0,0,0.0,3,1,NEUTRAL,200.0,1,0,MIXED,NEUTRAL
2023-10-30,5,0,3,2,1,1,1,0,0,0.0,3,1,NEUTRAL,374.0,0,1,MIXED,NEUTRAL
2023-10-31,5,0,3,1,2,1,1,0,0,0.0,3,1,NEUTRAL,98.0,1,0,COMPRESSION,NEUTRAL
2023-11-01,5,0,3,2,1,1,1,0,0,0.0,3,1,NEUTRAL,50.0,0,1,COMPRESSION,NEUTRAL
2023-11-08,7,0,5,2,3,1,1,0,0,0.0,5,1,NEUTRAL,102.0,2,1,MIXED,NEUTRAL
2023-11-09,5,0,3,1,2,1,1,0,0,0.0,3,1,NEUTRAL,219.0,1,0,MIXED,NEUTRAL
2023-11-10,5,0,3,2,1,1,1,0,0,0.0,3,1,NEUTRAL,323.0,0,1,MIXED,NEUTRAL
2023-11-14,5,0,3,2,1,1,1,0,0,0.0,3,1,NEUTRAL,311.0,0,1,MIXED,NEUTRAL
2023-11-15,6,0,4,3,1,1,1,0,0,0.0,4,1,NEUTRAL,91.0,0,2,COMPRESSION,NEUTRAL
2023-11-16,5,0,3,1,2,1,1,0,0,0.0,3,1,NEUTRAL,2.0,1,0,COMPRESSION,NEUTRAL
2023-11-28,8,0,6,5,1,1,1,0,0,0.0,6,1,NEUTRAL,230.0,0,4,RESOLVE,BULLISH
2023-11-29,6,0,4,2,2,1,1,0,0,0.0,4,1,NEUTRAL,126.0,1,1,COMPRESSION,NEUTRAL
2023-11-30,16,0,14,13,1,1,1,0,0,0.0,14,1,NEUTRAL,371.0,0,12,STRONG_TREND,BULLISH
2023-12-01,10,0,8,7,1,1,1,0,0,0.0,8,1,NEUTRAL,249.0,0,6,RESOLVE,BULLISH
2023-12-04,5,0,3,1,2,1,1,0,1,1.0,3,1,NEUTRAL,4.0,1,0,COMPRESSION,NEUTRAL
2023-12-06,6,0,4,2,2,1,1,0,0,0.0,4,1,NEUTRAL,100.0,1,1,COMPRESSION,NEUTRAL
2023-12-11,7,0,5,4,1,1,1,0,0,0.0,5,1,NEUTRAL,128.0,0,3,MIXED,BULLISH
2023-12-13,11,0,9,7,2,1,1,0,1,1.0,9,1,NEUTRAL,561.0,1,6,RESOLVE,BULLISH
2023-12-14,7,0,5,1,4,1,1,0,0,0.0,5,1,NEUTRAL,150.0,3,0,MIXED,BEARISH
2023-12-15,7,0,5,3,2,1,1,0,0,0.0,5,1,NEUTRAL,164.0,1,2,MIXED,NEUTRAL
2023-12-18,8,0,6,3,3,1,1,0,0,0.0,6,1,NEUTRAL,24.0,2,2,MIXED,NEUTRAL
2023-12-19,12,0,10,8,2,1,1,0,0,0.0,10,1,NEUTRAL,173.0,1,7,RESOLVE,BULLISH
2023-12-20,8,0,6,2,4,1,1,0,0,0.0,6,1,NEUTRAL,505.0,3,1,MIXED,NEUTRAL
2023-12-21,10,0,8,5,3,1,1,0,0,0.0,8,1,NEUTRAL,228.0,2,4,RESOLVE,NEUTRAL
2023-12-22,8,0,6,5,1,1,1,0,0,0.0,6,1,NEUTRAL,240.0,0,4,RESOLVE,BULLISH
2023-12-26,6,0,4,2,2,1,1,0,0,0.0,4,1,NEUTRAL,142.0,1,1,COMPRESSION,NEUTRAL
2023-12-27,9,0,7,5,2,1,1,0,1,1.0,7,1,NEUTRAL,120.0,1,4,RESOLVE,BULLISH
2023-12-28,7,0,5,4,1,1,1,0,0,0.0,5,1,NEUTRAL,99.0,0,3,MIXED,BULLISH
2023-12-29,6,0,4,1,3,1,1,0,0,0.0,4,1,NEUTRAL,186.0,2,0,MIXED,NEUTRAL
2024-01-02,9,0,7,6,1,1,1,0,0,0.0,7,1,NEUTRAL,242.0,0,5,RESOLVE,BULLISH
2024-01-03,13,0,11,4,7,1,1,0,1,1.0,11,1,NEUTRAL,178.0,6,3,RESOLVE,BEARISH
2024-01-04,15,0,13,11,2,1,1,0,0,0.0,13,1,NEUTRAL,230.0,1,10,STRONG_TREND,BULLISH
2024-01-05,9,0,7,6,1,1,1,0,0,0.0,7,1,NEUTRAL,317.0,0,5,RESOLVE,BULLISH
2024-01-08,20,0,18,15,3,1,1,0,1,1.0,18,1,NEUTRAL,423.0,2,14,STRONG_TREND,BULLISH
2024-01-09,8,0,6,3,3,1,1,0,0,0.0,6,1,NEUTRAL,101.0,2,2,MIXED,NEUTRAL
2024-01-10,11,0,9,7,2,1,1,0,0,0.0,9,1,NEUTRAL,208.0,1,6,RESOLVE,BULLISH
2024-01-11,11,0,9,1,8,1,1,0,1,1.0,9,1,NEUTRAL,330.0,7,0,RESOLVE,BEARISH
2024-01-12,7,0,5,2,3,1,1,0,0,0.0,5,1,NEUTRAL,292.0,2,1,MIXED,NEUTRAL
2024-01-15,5,0,3,2,1,1,1,0,0,0.0,3,1,NEUTRAL,12.0,0,1,COMPRESSION,NEUTRAL
2024-01-16,13,0,11,2,9,1,1,0,1,1.0,11,1,NEUTRAL,251.0,8,1,STRONG_TREND,BEARISH
2024-01-17,14,0,12,10,2,1,1,0,0,0.0,12,1,NEUTRAL,200.0,1,9,STRONG_TREND,BULLISH
2024-01-18,16,0,14,11,3,1,1,0,0,0.0,14,1,NEUTRAL,375.0,2,10,STRONG_TREND,BULLISH
2024-01-19,17,0,15,12,3,1,1,0,1,1.0,15,1,NEUTRAL,456.0,2,11,STRONG_TREND,BULLISH
2024-01-22,14,0,12,10,2,1,1,0,1,1.0,12,1,NEUTRAL,150.0,1,9,STRONG_TREND,BULLISH
2024-01-23,10,0,8,2,6,1,1,0,0,0.0,8,1,NEUTRAL,154.0,5,1,RESOLVE,BEARISH
2024-01-24,12,0,10,1,9,1,1,0,1,1.0,10,1,NEUTRAL,223.0,8,0,STRONG_TREND,BEARISH
2024-01-25,9,0,7,3,4,1,1,0,0,0.0,7,1,NEUTRAL,220.0,3,2,MIXED,NEUTRAL
2024-01-26,14,0,12,10,2,1,1,0,1,1.0,12,1,NEUTRAL,170.0,1,9,STRONG_TREND,BULLISH
2024-01-29,15,0,13,12,1,1,1,0,1,1.0,13,1,NEUTRAL,260.0,0,11,STRONG_TREND,BULLISH
2024-01-30,18,0,16,13,3,1,1,0,0,0.0,16,1,NEUTRAL,220.0,2,12,STRONG_TREND,BULLISH
2024-01-31,22,0,20,4,16,1,1,0,0,0.0,20,1,NEUTRAL,440.0,15,3,STRONG_TREND,BEARISH
2024-02-01,16,0,14,10,4,1,1,0,1,1.0,14,1,NEUTRAL,362.0,3,9,STRONG_TREND,BULLISH
2024-02-02,19,0,17,14,3,1,1,0,1,1.0,17,1,NEUTRAL,414.0,2,13,STRONG_TREND,BULLISH
2024-02-05,14,0,13,1,11,1,1,0,0,0.0,13,1,NEUTRAL,341.0,10,0,STRONG_TREND,BEARISH
2024-02-06,9,0,7,6,1,1,1,0,0,0.0,7,1,NEUTRAL,146.0,0,5,RESOLVE,BULLISH
2024-02-07,13,0,11,8,3,1,1,0,0,0.0,11,1,NEUTRAL,155.0,2,7,RESOLVE,BULLISH
2024-02-08,14,0,12,2,10,1,1,0,0,0.0,12,1,NEUTRAL,198.0,9,1,STRONG_TREND,BEARISH
2024-02-09,15,0,13,2,11,1,1,0,0,0.0,13,1,NEUTRAL,128.0,10,1,STRONG_TREND,BEARISH
2024-02-12,18,0,16,15,1,1,1,0,0,0.0,16,1,NEUTRAL,283.0,0,14,STRONG_TREND,BULLISH
2024-02-13,24,0,22,1,21,1,1,0,1,1.0,22,1,NEUTRAL,429.0,20,0,STRONG_TREND,BEARISH
2024-02-14,15,0,13,6,7,1,1,0,1,1.0,13,1,NEUTRAL,220.0,6,5,RESOLVE,NEUTRAL
2024-02-15,21,0,19,18,1,1,1,0,0,0.0,19,1,NEUTRAL,334.0,0,17,STRONG_TREND,BULLISH
2024-02-16,18,0,16,12,4,1,1,0,0,0.0,16,1,NEUTRAL,231.0,3,11,STRONG_TREND,BULLISH
2024-02-19,5,0,3,1,2,1,1,0,0,0.0,3,1,NEUTRAL,26.0,1,0,COMPRESSION,NEUTRAL
2024-02-20,12,0,10,4,6,1,1,0,1,1.0,10,1,NEUTRAL,183.0,5,3,RESOLVE,NEUTRAL
2024-02-21,12,0,10,6,4,1,1,0,1,1.0,10,1,NEUTRAL,238.0,3,5,RESOLVE,NEUTRAL
2024-02-22,19,0,17,15,2,1,1,0,2,1.3333333333333333,17,1,NEUTRAL,344.0,1,14,STRONG_TREND,BULLISH
2024-02-23,19,0,17,9,8,1,1,0,1,1.0,17,1,NEUTRAL,182.0,7,8,STRONG_TREND,NEUTRAL
2024-02-26,22,0,20,10,10,1,1,0,2,1.25,20,1,NEUTRAL,208.0,9,9,STRONG_TREND,NEUTRAL
2024-02-27,17,0,15,1,14,1,1,0,0,0.0,15,1,NEUTRAL,165.0,13,0,STRONG_TREND,BEARISH
2024-02-28,21,1,18,17,2,1,1,0,1,1.0,18,1,NEUTRAL,197.0,1,16,STRONG_TREND,BULLISH
2024-02-29,21,0,19,4,15,1,1,0,1,1.0,19,1,NEUTRAL,261.0,14,3,STRONG_TREND,BEARISH
2024-03-01,29,0,27,18,9,1,1,0,2,1.3333333333333333,27,1,NEUTRAL,264.0,8,17,STRONG_TREND,BULLISH
2024-03-04,18,0,17,15,1,1,1,0,5,2.375,17,1,NEUTRAL,171.0,0,14,STRONG_TREND,BULLISH
2024-03-05,46,1,44,2,42,1,1,0,5,1.5714285714285714,44,1,NEUTRAL,431.0,41,1,STRONG_TREND,BEARISH
2024-03-06,26,0,24,5,19,1,1,0,4,1.6923076923076923,24,1,NEUTRAL,286.0,18,4,STRONG_TREND,BEARISH
2024-03-07,27,0,25,6,19,1,1,0,7,2.7777777777777777,25,1,NEUTRAL,186.0,18,5,STRONG_TREND,BEARISH
2024-03-08,23,0,21,14,7,1,1,0,6,2.235294117647059,21,1,NEUTRAL,282.0,6,13,STRONG_TREND,BULLISH
2024-03-11,49,0,47,27,20,1,1,0,7,1.6585365853658536,47,1,NEUTRAL,329.0,19,26,STRONG_TREND,BULLISH
2024-03-12,29,0,27,20,7,1,1,0,6,1.5,27,1,NEUTRAL,384.0,6,19,STRONG_TREND,BULLISH
2024-03-13,33,0,31,23,8,1,1,0,11,1.9655172413793103,31,1,NEUTRAL,278.0,7,22,STRONG_TREND,BULLISH
2024-03-14,35,1,32,2,31,1,1,0,5,1.4193548387096775,32,1,NEUTRAL,486.0,30,1,STRONG_TREND,BEARISH
2024-03-15,26,0,24,3,21,1,1,0,5,1.9,24,1,NEUTRAL,317.0,20,2,STRONG_TREND,BEARISH
2024-03-18,19,0,17,8,9,1,1,0,14,3.6666666666666665,17,1,NEUTRAL,144.0,8,7,STRONG_TREND,NEUTRAL
2024-03-19,47,0,45,43,2,1,1,0,12,1.9090909090909092,45,1,NEUTRAL,366.0,1,42,STRONG_TREND,BULLISH
2024-03-20,59,0,57,54,3,1,1,0,9,1.82,57,1,NEUTRAL,563.0,2,53,STRONG_TREND,BULLISH
2024-03-21,34,0,33,31,1,1,1,0,4,1.36,33,1,NEUTRAL,307.0,0,30,STRONG_TREND,BULLISH
2024-03-22,65,1,62,2,61,1,1,0,9,1.4642857142857142,62,1,NEUTRAL,416.0,60,1,STRONG_TREND,BEARISH
2024-03-25,23,0,21,2,19,1,1,0,10,3.2222222222222223,21,1,NEUTRAL,140.0,18,1,STRONG_TREND,BEARISH
2024-03-26,23,1,20,12,9,1,1,0,11,2.588235294117647,20,1,NEUTRAL,165.0,8,11,STRONG_TREND,BULLISH
2024-03-27,50,0,48,35,13,1,1,0,9,1.8095238095238095,48,1,NEUTRAL,356.0,12,34,STRONG_TREND,BULLISH
2024-03-28,26,0,24,5,19,1,1,0,6,2.0434782608695654,24,1,NEUTRAL,142.0,18,4,STRONG_TREND,BEARISH
2024-04-01,41,1,39,1,38,1,1,0,9,1.7222222222222223,39,1,NEUTRAL,467.0,37,0,STRONG_TREND,BEARISH
2024-04-02,15,0,14,1,12,1,1,0,2,1.3636363636363635,14,1,NEUTRAL,195.0,11,0,STRONG_TREND,BEARISH
2024-04-03,15,0,14,9,4,1,1,0,9,2.6923076923076925,14,1,NEUTRAL,289.0,3,8,STRONG_TREND,BULLISH
2024-04-04,62,1,60,1,57,1,1,2,12,1.6491228070175439,60,1,NEUTRAL,883.0,56,0,STRONG_TREND,BEARISH
2024-04-05,39,0,37,35,2,1,1,0,5,1.7352941176470589,37,1,NEUTRAL,452.0,1,34,STRONG_TREND,BULLISH
2024-04-08,16,0,15,5,9,1,1,0,9,2.5384615384615383,15,1,NEUTRAL,167.0,8,4,STRONG_TREND,BEARISH
2024-04-09,30,0,28,2,26,1,1,0,7,1.6666666666666667,28,1,NEUTRAL,434.0,25,1,STRONG_TREND,BEARISH
2024-04-10,19,0,18,7,10,1,1,0,11,2.25,18,1,NEUTRAL,300.0,9,6,STRONG_TREND,BEARISH
2024-04-11,32,0,31,4,26,1,1,0,9,1.962962962962963,31,1,NEUTRAL,408.0,25,3,STRONG_TREND,BEARISH
2024-04-12,44,0,42,4,38,1,1,0,9,2.2564102564102564,42,1,NEUTRAL,424.0,37,3,STRONG_TREND,BEARISH
2024-04-15,58,0,56,3,53,1,1,0,8,1.5961538461538463,56,1,NEUTRAL,726.0,52,2,STRONG_TREND,BEARISH
2024-04-16,25,0,24,3,20,1,1,0,16,2.3333333333333335,24,1,NEUTRAL,294.0,19,2,STRONG_TREND,BEARISH
2024-04-17,35,0,34,11,22,1,1,0,11,1.7878787878787878,34,1,NEUTRAL,415.0,21,10,STRONG_TREND,BEARISH
