date,orig_pl,orig_buys,orig_sells,orig_signals,orig_ms,fast_pl,fast_buys,fast_sells,fast_signals,fast_ms,new_pl,new_buys,new_sells,new_signals,new_ms,orig_vs_fast_pl_match,orig_vs_fast_sig_match,fast_vs_new_pl_match,fast_vs_new_sig_match
2024-03-15,-12.0,2,2,4,764.9,-12.0,2,2,4,3622.6,-12.0,2,2,4,27.2,True,True,True,True
2024-03-18,-18.0,2,2,4,690.1,-18.0,2,2,4,25.9,-18.0,2,2,4,25.3,True,True,True,True
2024-03-19,-33.0,1,1,2,680.4,-33.0,1,1,2,25.9,-33.0,1,1,2,26.6,True,True,True,True
2024-03-20,4.0,2,1,3,718.0,4.0,2,1,3,25.8,4.0,2,1,3,25.8,True,True,True,True
2024-03-21,-19.0,2,2,4,529.8,-19.0,2,2,4,27.3,-19.0,2,2,4,25.2,True,True,True,True
2024-03-22,76.0,1,2,3,606.9,76.0,1,2,3,25.9,76.0,1,2,3,26.7,True,True,True,True
2024-03-25,-103.0,2,1,3,721.9,-103.0,2,1,3,25.6,-103.0,2,1,3,25.7,True,True,True,True
2024-03-26,11.0,1,2,3,693.9,-45.0,1,2,3,26.5,-45.0,1,2,3,27.3,False,True,True,True
2024-03-27,-34.0,1,2,3,700.6,18.0,2,2,4,26.6,18.0,2,2,4,27.0,False,False,True,True
2024-03-28,-97.0,2,2,4,622.0,-97.0,2,2,4,25.3,-97.0,2,2,4,26.9,True,True,True,True
2024-04-01,38.0,1,2,3,625.1,38.0,1,2,3,25.5,38.0,1,2,3,24.0,True,True,True,True
2024-04-02,-29.0,2,2,4,675.3,27.0,2,2,4,25.8,27.0,2,2,4,25.7,False,True,True,True
2024-04-03,31.0,2,1,3,736.3,31.0,2,1,3,25.4,31.0,2,1,3,25.9,True,True,True,True
2024-04-04,110.0,2,1,3,655.2,72.0,2,2,4,26.7,72.0,2,2,4,26.4,False,False,True,True
2024-04-05,-168.0,2,2,4,664.7,-168.0,2,2,4,26.4,-168.0,2,2,4,25.4,True,True,True,True
2024-04-08,51.0,2,1,3,668.5,51.0,2,1,3,25.9,51.0,2,1,3,26.3,True,True,True,True
2024-04-09,216.0,3,2,5,643.2,216.0,2,2,4,26.1,216.0,2,2,4,28.0,True,False,True,True
2024-04-10,-127.0,2,1,3,741.3,-127.0,2,1,3,25.8,-127.0,2,1,3,25.4,True,True,True,True
2024-04-11,135.0,1,2,3,552.7,135.0,1,2,3,25.0,135.0,1,2,3,26.3,True,True,True,True
2024-04-12,-120.0,1,2,3,654.4,-120.0,1,2,3,26.2,-120.0,1,2,3,25.4,True,True,True,True
